所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/学员管理(#13),验证【学员管理】页面布局是否与原型图一致,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

",1. 查看界面布局是否与原型图一致,1.班务管理模块界面布局与原型图一致,3,功能测试,系统测试阶段
/学员管理(#13),验证只选择【班级】，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.选择【班级】，其他默认","1.显示全部学员信息
2.显示选择的班级的学员信息",3,功能测试,系统测试阶段
/学员管理(#13),验证只选择【方向】，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.选择【方向】，其他默认","1.显示全部学员信息
2.显示选择的方向的学员信息",3,功能测试,系统测试阶段
/学员管理(#13),验证只选择【状态】，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.选择【状态】，其他默认","1.显示全部学员信息
2.显示选择的最新状态的学员信息",3,功能测试,系统测试阶段
/学员管理(#13),验证选择【班级】、【方向】、【最新状态】，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.选择【班级】、【方向】、【最新状态】组合选择，其他默认","1.显示全部学员信息
2.显示选择的最新状态的学员信息",3,功能测试,系统测试阶段
/学员管理(#13),验证搜索输入框输入正确的参数，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.在【姓名】一栏输入合法值：冷佩，其他默认
3.点击【搜索】","1.显示全部学员信息
2.显示“唐一”的学员信息",3,功能测试,系统测试阶段
/学员管理(#13),验证搜索输入框输入不合法的参数，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.在【姓名】一栏输入非法值：不存在的名字；12345；！#！￥；超出长度的名字，其他默认
3.点击【搜索】","1.显示全部学员信息
2.显示“无符合条件的记录”",3,功能测试,系统测试阶段
/学员管理(#13),验证【查看】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【查看】按钮",1.弹出‘查看学员基本信息’窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证【二维码】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【二维码】按钮",1.弹出‘二维码查看’窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证【修改】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮",1.弹出‘修改学员基本信息’窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证修改学员基本信息所有参数正确，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.所有参数输入正确，点击【保存】",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证姓名输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.姓名输入框输入‘冷@#￥’，其他参数正确，点击【保存】按钮",1.提示‘姓名’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证姓名输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.姓名输入框不输入，其他参数正确，点击【保存】按钮",1.提示‘姓名’不能为空相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证姓名输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.姓名输入框输入‘冷 佩’，其他参数正确，点击【保存】按钮",1.提示‘姓名’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证电话号码输入框输入超长字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.电话号码输入框输入‘132793310051’，其他参数正确，点击【保存】按钮",1.无法输入超长字符,3,功能测试,系统测试阶段
/学员管理(#13),验证电话号码输入框输入超短字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.电话号码输入框输入‘1327933100’，其他参数正确，点击【保存】按钮",1.提示‘电话号码’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证电话号码输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.电话号码输入框输入‘13279331@#￥’，其他参数正确，点击【保存】按钮",1.提示‘电话号码’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证电话号码输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.电话号码输入框不输入，其他参数正确，点击【保存】按钮",1.提示‘电话号码’不能为空相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证电话号码输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.电话号码输入框输入‘132793310 5’，其他参数正确，点击【保存】按钮",1.提示‘电话号码’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证QQ输入框输入超长字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.QQ输入框输入‘12345678901234’，其他参数正确，点击【保存】按钮",1.提示‘QQ’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证QQ输入框输入超短字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.QQ输入框输入‘12345’，其他参数正确，点击【保存】按钮",1.提示‘QQ’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证QQ输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.QQ输入框输入‘1234567@#￥’，其他参数正确，点击【保存】按钮",1.提示‘QQ’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证QQ输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.QQ输入框不输入，其他参数正确，点击【保存】按钮",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证QQ输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.QQ输入框输入‘123456 789’，其他参数正确，点击【保存】按钮",1.提示‘QQ’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证联系人输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.联系人输入框输入‘冷@#￥’，其他参数正确，点击【保存】按钮",1.提示‘联系人’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证联系人输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.联系人输入框不输入，其他参数正确，点击【保存】按钮",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证联系人输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.联系人输入框输入‘冷 佩’，其他参数正确，点击【保存】按钮",1.提示‘联系人’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证紧急电话输入框输入超长字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.紧急电话输入框输入‘132793310051’，其他参数正确，点击【保存】按钮",1.无法输入超长字符,3,功能测试,系统测试阶段
/学员管理(#13),验证紧急电话输入框输入超短字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.紧急电话输入框输入‘1327933100’，其他参数正确，点击【保存】按钮",1.提示‘紧急电话’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证紧急电话输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.紧急电话输入框输入‘13279331@#￥’，其他参数正确，点击【保存】按钮",1.提示‘紧急电话’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证紧急电话输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.紧急电话输入框不输入，其他参数正确，点击【保存】按钮",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证紧急电话输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.紧急电话输入框输入‘132793310 5’，其他参数正确，点击【保存】按钮",1.提示‘紧急电话’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证学校输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.学校输入框输入‘西安科技#￥’，其他参数正确，点击【保存】按钮",1.提示‘学校’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证学校输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.学校输入框不输入，其他参数正确，点击【保存】按钮",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证学校输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.学校输入框输入‘西安 科技大学’，其他参数正确，点击【保存】按钮",1.提示‘学校’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证专业输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.专业输入框输入‘财务#￥’，其他参数正确，点击【保存】按钮",1.提示‘专业’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证专业输入框输入为空，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.专业输入框不输入，其他参数正确，点击【保存】按钮",1.修改成功，弹出【操作成功】弹窗,3,功能测试,系统测试阶段
/学员管理(#13),验证专业输入框输入含空格，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.专业输入框输入‘西安 科技大学’，其他参数正确，点击【保存】按钮",1.提示‘学校’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证身份证号输入框输入超长字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.身份证号输入框输入‘6102211995121303251’，其他参数正确，点击【保存】按钮",1.无法输入超长字符,3,功能测试,系统测试阶段
/学员管理(#13),验证身份证号输入框输入超短字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.身份证号输入框输入‘61022119951213032’，其他参数正确，点击【保存】按钮",1.提示‘身份证号’输入不合法相关提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证身份证号输入框输入特殊字符，其他参数正确，修改学员信息是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【学员信息】子模块
2.所有参数输入正确点击【搜索】
3.在下方学员信息列表点击任意一条信息后的【修改】按钮
4.身份证号输入框输入‘61022119951213032@’，其他参数正确，点击【保存】按钮",1.提示‘身份证号’输入不合法相关提示信息,3,功能测试,系统测试阶段
