所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,创建日期,最后修改者,修改日期,用例版本
WoniuBoss(#1),/财务管理(#10),,验证财务管理模块界面布局与原型图一致,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
",1. 查看界面布局是否与原型图一致,1. 财务管理模块界面布局与原型图一致,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证未进行二级解密前财务流水模块下金额栏内容不可见,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
","1. 点击“财务流水”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 流水记录下列表有内容显示；
2. 列表中金额栏金额数不可见
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证未进行二级解密前学员缴费模块下姓名栏内容不可见,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
","1. 点击“学院缴费”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 下方列表中有内容显示
2. 列表中姓名栏内容不可见
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证二级解密后财务流水模块下金额栏内容可见,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“财务流水”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 流水记录下列表有内容显示；
2. 列表中金额栏金额数可见
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证二级解密后学员缴费模块下姓名栏内容可见,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“学院缴费”模块，选择开始时间：2019-01-01
2. 结束时间：2020-01-03
3. 一级科目：主营业务收入
4.二级科目：就业培训
5.点击：查询","1. 下方列表中有内容显示
2. 列表中姓名栏内容可见
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证一级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击一级科目下拉框
2. 随机选择一项内容",1. 一级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证二级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击二级科目下拉框
2. 随机选择一项内容",1. 二级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证一级科目和二级科目之间具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击一级科目逐一进行选择
2. 查看二级科目下拉框内内容是否随一级目录有相应变化",1. 二级科目随一级科目变化，两者之间具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证流水账类型下拉框可选择进行改变,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“类型”下拉框，
2. 类型选择为：公账",1. 流水账类型下拉框可选择进行改变,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证结算方式可更改,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击：类型选择为“私账”
2.结算方式更改为：微信",1. 流水账类型为私账时，结算方式可以进行修改,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证结算方式与类型之间具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击切换类型为公账和私账
2. 查看结算方式下拉框内容是否随之发生变化",1. 结算方式与类型之间具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证交易时间可以重新选择日期进行修改,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击：交易时间
2. 选择日期为2019-12-10
3.其他栏输入合法格式
4.点击：保存",1. 交易时间可以进行修改,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证交易时间栏可以通过键盘输入,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击：交易时间
2. 键盘输入日期为2019-12-10",1. 交易时间栏可以通过键盘输入,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证交易时间栏不可以键盘输入不合法格式的时间,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击：交易时间
2. 键盘输入日期为2019-12-35",1.交易时间栏不可以键盘输入不合法格式的时间,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证负责人下拉框可选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 随机点击选择负责人,1. 负责人下拉框可选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证负责人栏与交易账号栏具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击负责人依次选择下拉框中内容
2.查看交易账号是否随之发生变化",1. 负责人栏与交易账号栏具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证收支类型下拉框可选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击收支类型下拉框
2. 选择支出选项",1. 收支类型下拉框可选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入合法的整数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 金额：10000
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入合法的小数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 金额：1000.01
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入不能为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 金额：
2. 其他栏输入合法格式数据
3. 点击保存",1. 应有新增流水失败提醒,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入为字符数字组合,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 金额：123AAA,1. 金额栏不允许输入数字字符组合格式,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入为特殊字符,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 金额：*@@,1. 金额栏不允许输入特殊字符,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入为非法格式小数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 金额：1000.01。01
2.其他栏输入合法格式数据
3.点击：保存",1. 金额栏不允许输入非法格式小数,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证对方账号栏输入为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 对方账号：
2.其他栏输入合法数据
3.点击保存",1. 允许对方账号为空,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证对方账号输入字符数字组合,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 对方账号：123abc
2.其他栏输入合法数据
3.点击保存",1. 应有规范约束,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证对方账号输入特殊字符,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 对方账号：#@
2.其他栏输入合法数据
3.点击保存",1. 应有规范约束,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证对方账号输入数字,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 对方账号：123456
2.其他栏输入合法数据
3.点击保存",1. 允许对方账号输入为数字格式,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证资金用途文本框可写,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 资金用途：定金,1. 资金用途文本框可写入,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证资金用途文本框竖向滚动条可拖动,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 资金用途输入超出当前显示框的内容
2. 拖动竖向滚动条",1. 资金用途文本框竖向滚动条可拖动,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证新增流水账成功有相应提示信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 给所有条件输入合法格式数据
2. 点击保存
3. 查看是否有新增成功的提醒",1. 有新增成功的相关提示信息,4,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证新增流水账失败有相应提示信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 资金用途输入超长数据
2.其他框输入合法格式数据
2. 点击保存
3. 查看是否有新增失败的提醒",1. 有新增失败的相关提示信息,4,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证新增流水账成功后在流水记录列表中有新增的记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 给所有条件输入合法格式数据
2. 点击保存
3. 查看页面流水记录列表中是否有新增的记录",1. 新增流水账成功后在流水账记录列表中有新增的记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证新增流水账成功后在数据库有该条新增记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 所有条件输入合法格式数据
2. 点击保存
3. 连接数据库查询该条记录",1. 新增流水账成功后在数据库有该条新增记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证在新增流水界面点击“保存”后界面跳回“财务流水”界面,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 所有条件输入合法格式数据
2. 点击保存",1. 点击“保存”后界面跳回“财务流水”界面,1,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证在新增流水界面点击关闭按钮后界面跳回“财务流水”界面,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 点击新增流水界面关闭按钮,1. 在新增流水界面点击关闭按钮后界面跳回“财务流水”界面,1,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证查询流水开始时间选择框可以选择切换日期,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 点击开始时间，选择开始时间为：2017-01-01,1. 查询流水开始时间选择框可以选择切换日期,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证查询流水结束时间选择框可以选择切换日期,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 点击结束时间，选择结束时间为：2020-01-04,1. 查询流水结束时间选择框可以选择切换日期,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证开始时间、结束时间可以通过键盘输入日期,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 键盘输入开始时间：2016―12-12
2.键盘输入结束时间：2020-01-03 ",1. 开始时间、结束时间可以通过键盘输入日期,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证开始时间、结束时间输入非法格式日期,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 键盘输入开始时间：2019―12-32
2.键盘输入结束时间：2020-01-00",1. 开始时间、结束时间不能输入非法格式日期,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证结束时间早于开始时间,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 选择开始时间：2020-01-04
2. 选择结束时间：2019-01-01
3. 点击：查询",1. 结束时间早于开始时间时查询结果为空,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证通过开始时间和结束时间能够查到相关流水记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 选择开始时间：2019-01-01
2. 选择结束时间：2020-01-04
3. 点击：查询",1. 通过开始时间和结束时间能够查到相关流水记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证查询流水时一级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击一级科目下拉框
2. 随机选择一项内容",1. 一级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证查询流水时二级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击二级科目下拉框
2. 随机选择一项内容",1. 二级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证查询流水时二级科目随一级科目变化，两者之间具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击一级科目逐一进行选择
2. 查看二级科目下拉框内内容是否随一级目录有相应变化",1. 二级科目随一级科目变化，两者之间具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证“上月查询”能够查到上月流水记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 一级科目：选择主营业务收入
2. 二级科目：选择就业培训
3. 点击：上月查询
4. 查看流水记录",1. 流水记录中有上月的流水记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证“本月查询”能够查询到本月流水记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 一级科目：选择主营业务收入
2. 二级科目：选择就业培训
3. 点击：本月查询
4. 查看流水记录",1. 流水记录中有本月的流水记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时一级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1.选择开始时间：2019-01-01
2.结束时间：2020-01-04
3.点击：查询
4.在流水记录随机选择一条记录，点击其后的“修改”按钮
1. 点击一级科目下拉框
2. 随机选择一项内容",1. 一级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时二级科目下拉框内容可自由选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击二级科目下拉框
2. 随机选择一项内容",1. 二级科目下拉框内容可自由选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时一级科目和二级科目之间具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击一级科目逐一进行选择
2. 查看二级科目下拉框内内容是否随一级目录有相应变化",1. 二级科目随一级科目变化，两者之间具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时流水账类型下拉框可选择进行改变,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击“类型”下拉框，
2. 类型选择为：公账",1. 流水账类型下拉框可选择进行改变,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时结算方式可更改,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击：类型选择为“私账”
2.结算方式更改为：微信",1. 流水账类型为私账时，结算方式可以进行修改,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时结算方式与类型之间具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击切换类型为公账和私账
2. 查看结算方式下拉框内容是否随之发生变化",1. 结算方式与类型之间具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时交易时间可以重新选择日期进行修改,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击：交易时间
2. 选择日期为2019-12-10
3.其他栏输入合法格式
4.点击：保存",1. 交易时间可以进行修改,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时交易时间栏可以通过键盘输入,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击：交易时间
2. 键盘输入日期为2019-12-10",1. 交易时间栏可以通过键盘输入,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时交易时间栏不可以键盘输入不合法格式的时间,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击：交易时间
2. 键盘输入日期为2019-12-35",1.交易时间栏不可以键盘输入不合法格式的时间,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时负责人下拉框可选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮",1. 随机点击选择负责人,1. 负责人下拉框可选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
