所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,创建日期,最后修改者,修改日期,用例版本
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时负责人栏与交易账号栏具有关联关系,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击负责人依次选择下拉框中内容
2.查看交易账号是否随之发生变化",1. 负责人栏与交易账号栏具有关联关系,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时收支类型下拉框可选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 点击收支类型下拉框
2. 选择支出选项",1. 收支类型下拉框可选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时金额栏输入合法的整数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 金额：10000
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时金额栏输入合法的小数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 金额：1000.01
2.其他栏输入合法格式数据
3.点击：保存","新增流水成功
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时金额栏输入不能为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 金额：
2. 其他栏输入合法格式数据
3. 点击保存",1. 应有新增流水失败提醒,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时金额栏输入为字符数字组合,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮",1. 金额：123AAA,1. 金额栏不允许输入数字字符组合格式,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时金额栏输入为特殊字符,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮",1. 金额：*@@,1. 金额栏不允许输入特殊字符,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证金额栏输入为非法格式小数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 金额：1000.01。01
2.其他栏输入合法格式数据
3.点击：保存",1. 金额栏不允许输入非法格式小数,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时对方账号栏输入为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 对方账号：
2.其他栏输入合法数据
3.点击保存",1. 允许对方账号为空,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时对方账号输入字符数字组合,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 对方账号：123abc
2.其他栏输入合法数据
3.点击保存",1. 应有规范约束,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时对方账号输入特殊字符,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 对方账号：#@
2.其他栏输入合法数据
3.点击保存",1. 应有规范约束,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时对方账号输入数字,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 对方账号：123456
2.其他栏输入合法数据
3.点击保存",1. 允许对方账号输入为数字格式,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时资金用途文本框内容可修改,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮",1. 资金用途：定金,1. 资金用途文本框可写入,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水记录时资金用途文本框竖向滚动条可拖动,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 资金用途输入超出当前显示框的内容
2. 拖动竖向滚动条",1. 资金用途文本框竖向滚动条可拖动,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水账成功有相应提示信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 给所有条件输入合法格式数据
2. 点击保存
3. 查看是否有修改成功的提醒",1. 有修改成功的相关提示信息,4,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水账失败有相应提示信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 资金用途输入超长数据
2.其他框输入合法格式数据
2. 点击保存
3. 查看是否有修改失败的提醒",1. 有修改失败的相关提示信息,4,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水账成功后在流水记录列表中有该条的记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 给所有条件输入合法格式数据
2. 点击保存
3. 查看页面流水记录列表中是否有修改的记录",1. 修改流水账成功后在流水账记录列表中有该条记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证修改流水账成功后在数据库有该条修改记录,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 所有条件输入合法格式数据
2. 点击保存
3. 连接数据库查询该条记录",1. 修改流水账成功后在数据库有该条修改记录,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证在修改流水界面点击“保存”后界面跳回“财务流水”界面,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮","1. 所有条件输入合法格式数据
2. 点击保存",1. 在修改流水界面点击“保存”后界面跳回“财务流水”界面,1,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证在修改流水界面点击关闭按钮后界面跳回“财务流水”界面,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2019-01-01
8.结束时间：2020-01-04
9.点击：查询
10.在流水记录随机选择一条记录，点击其后的“修改”按钮",1. 点击修改流水界面关闭按钮,1. 在修改流水界面点击关闭按钮后界面跳回“财务流水”界面,1,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证流水记录每页显示条数可选择修改且可翻页,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码
6.点击【财务流水】
7.选择开始时间：2017-01-01
8.结束时间：2020-01-04
9.点击：查询","1.依次点击选择每页显示条数
2.查看显示内容条数是否符合限制
3.查看翻页功能是否能够正常使用",1.流水记录每页显示条数可选择修改且可翻页,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证“浏览”链接可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“浏览”链接
2. 查看是否跳出Windows窗口",1. 公账导入模块“浏览”链接可用,1,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证导入excel文件为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“浏览”链接
2. 选择excel空文件
3. 点击“提交”",1. 导入失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证导入非excel格式文件,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“浏览”链接
2. 选择.txt文件
3. 点击“提交”",1. 导入失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证导入合法格式excel格式文件,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“浏览”链接
2. 选择合法格式excel文件
3. 点击“提交”",1. 导入成功,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证批量导入excel文件,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“浏览”链接
2. 批量选择excel文件
3. 点击“提交”",1. 不支持批量选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“待缴费”时下方列表显示均为待缴费学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 学生姓名：
3. 查看下方列表中缴费状态栏是否均为待缴费",1. 状态搜索栏选择为“待缴费”时下方列表显示均为待缴费学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“待缴费”，输入相应待缴费学生姓名可以查到该学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 学生姓名：待缴费学生姓名
3. 查看下方列表中是否显示该待缴费学生信息",1. 状态搜索栏选择为“待缴费”，输入相应待缴费学生姓名可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已缴定金”时下方列表显示均为已缴定金学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已缴定金
2. 学生姓名：
3. 查看下方列表中缴费状态栏是否均为已缴定金",1. 状态搜索栏选择为“已缴定金”时下方列表显示均为已缴定金学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已缴定金”，输入相应已缴定金学生姓名可以查到该学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已缴定金
2. 学生姓名：已缴定金学生姓名
3. 查看下方列表中是否显示该已缴定金学生信息",1. 状态搜索栏选择为“已缴定金”，输入相应已缴定金学生姓名可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“未缴清”时下方列表显示均为未缴清学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：未缴清
2. 学生姓名：
3. 查看下方列表中缴费状态栏是否均为未缴清",1. 状态搜索栏选择为“未缴清”时下方列表显示均为未缴清学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“未缴清”，输入相应未缴清学生姓名可以查到该学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：未缴清
2. 学生姓名：未缴清学生姓名
3. 查看下方列表中是否显示该未缴清学生信息",1. 状态搜索栏选择为“未缴清”，输入相应未缴清学生姓名可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已缴清”时下方列表显示均为已缴清学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已缴清
2. 学生姓名：
3. 查看下方列表中缴费状态栏是否均为已缴清",1. 状态搜索栏选择为“已缴清”时下方列表显示均为已缴清学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已缴清”，输入相应已缴清学生姓名可以查到该学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已缴清
2. 学生姓名：已缴清学生姓名
3. 查看下方列表中是否显示该已缴清学生信息",1. 状态搜索栏选择为“已缴清”，输入相应已缴清学生姓名可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已退费”时下方列表显示均为已退费学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已退费
2. 学生姓名：
3. 查看下方列表中缴费状态栏是否均为已退费",1. 状态搜索栏选择为“已退费”时下方列表显示均为已退费学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证状态搜索栏选择为“已退费”，输入相应已退费学生姓名可以查到该学生信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：已退费
2. 学生姓名：已退费学生姓名
3. 查看下方列表中是否显示该已退费学生信息",1. 状态搜索栏选择为“已退费”，输入相应已退费学生姓名可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证班级下拉框可随机选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 班级：随机选择一个选项",1. 班级下拉框可随机选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证班级默认为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 班级：
4. 缴费状态：已缴清
5. 其他栏中输入合法数据
6. 点击：保存",1. 在已缴清列表中可以查到该学生信息,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证缴费状态下拉框可以随机选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 缴费状态：随机选择一个选项",1. 缴费状态下拉框可以随机选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证缴费状态默认为空,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 缴费状态：
4. 其他栏中输入合法数据
5. 点击：保存",1. 有缴费状态报错提醒,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付金额输入合理数字,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 支付金额：18800
2. 其他栏中输入合法数据
3. 点击保存",1. 保存成功,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付金额输入负数,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 支付金额：-100
2. 其他栏中输入合法数据
3. 点击保存",1. 保存失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付金额输入数字大于总金额,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 支付金额：18801
2. 其他栏中输入合法数据
3. 点击保存",1. 保存失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付金额输入数字和字符组合,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 支付金额：123abc
2. 其他栏中输入合法数据
3. 点击保存",1. 保存失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付金额输入特殊字符,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 支付金额：#
2. 其他栏中输入合法数据
3. 点击保存",1. 保存失败,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付方式下拉框可以随机选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 支付方式：随机选择一个选项",1. 支付方式下拉框可以随机选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证支付账户下拉框可以随机选择,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 状态搜索：待缴费
2. 点击任一学生后的操作：缴费/退费
3. 支付账户：随机选择一个选项",1. 支付账户下拉框可以随机选择,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证补充说明文本框可以输入内容,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 补充说明：缴费,1. 补充说明文本框可以输入内容,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证补充说明文本框内容超出文本框限制时竖向滚动条可以拖动,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码",1. 补充说明：输入超长内容,1. 补充说明文本框内容超出文本框限制时竖向滚动条可以拖动,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证退费按钮可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1. 点击“退费”按钮
2.状态搜索选择：已退费
3.查看该列表中是否有刚才所操作学生信息","1. 已退费列表中有所操作学生信息
2. 退费按钮可用
",3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
WoniuBoss(#1),/财务管理(#10),,验证缴费状态下学生记录每页显示条数可选择修改且可翻页,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss2.5
3.点击进入【财务管理】模块
4.点击：解密；
5.输入正确的二级密码","1.依次点击选择每页显示条数
2.查看显示内容条数是否符合限制
3.查看翻页功能是否能够正常使用",1.学生记录每页显示条数可选择修改且可翻页,3,功能测试,系统测试阶段,2020/3/16,,0000-00-00,1
